CLK|RST| down | load|loadIn | currCount | isZero |
---|---|------|-----|-------|-----------|--------|
 0 | 1 |   x  |  x  |    x |      x   |    x   |
 1 | 0 |   x  |  x  |    x |      x   |    x   |
 0 | 0 |   0  |  0  |    x |      x   |    x   |
 1 | 0 |   0  |  0  |    x |      x   |    x   |
 0 | 1 |   0  |  0  |    x |      x   |    x   |
 1 | 1 |   0  |  0  |    x |      x   |    x   |
 0 | 0 |   0  |  1  |   10 |      x   |    x   |
 1 | 0 |   0  |  1  |   10 |     10   |    0   |
 0 | 0 |   1  |  0  |   10 |     10   |    0   |
 1 | 0 |   1  |  0  |   10 |      9   |    0   |
 0 | 0 |   1  |  0  |   10 |      9   |    0   |
 1 | 0 |   1  |  0  |   10 |      8   |    0   |
 0 | 0 |   1  |  0  |   10 |      8   |    0   |
 1 | 0 |   1  |  0  |   10 |      7   |    0   |
 0 | 0 |   1  |  0  |   10 |      7   |    0   |
 1 | 0 |   1  |  0  |   10 |      6   |    0   |
 0 | 0 |   1  |  0  |   10 |      6   |    0   |
 1 | 0 |   1  |  0  |   10 |      5   |    0   |
 0 | 0 |   1  |  0  |   10 |      5   |    0   |
 1 | 0 |   1  |  0  |   10 |      4   |    0   |
 0 | 0 |   1  |  0  |   10 |      4   |    0   |
 1 | 0 |   1  |  0  |   10 |      3   |    0   |
 0 | 0 |   1  |  0  |   10 |      3   |    0   |
 1 | 0 |   1  |  0  |   10 |      2   |    0   |
 0 | 0 |   1  |  0  |   10 |      2   |    0   |
 1 | 0 |   1  |  0  |   10 |      1   |    0   |
 0 | 0 |   1  |  0  |   10 |      1   |    0   |
 1 | 0 |   1  |  0  |   10 |      0   |    1   |
 0 | 0 |   1  |  0  |   10 |      0   |    1   |
 1 | 0 |   1  |  0  |   10 |     10   |    0   |
 0 | 0 |   1  |  0  |   10 |     10   |    0   |
 1 | 0 |   1  |  0  |   10 |      9   |    0   |
 0 | 0 |   1  |  0  |   10 |      9   |    0   |
 1 | 0 |   1  |  0  |   10 |      8   |    0   |
 0 | 0 |   1  |  0  |   10 |      8   |    0   |
 1 | 0 |   1  |  0  |   10 |      7   |    0   |
 0 | 0 |   1  |  0  |   10 |      7   |    0   |
 1 | 0 |   1  |  0  |   10 |      6   |    0   |
 0 | 0 |   1  |  0  |   10 |      6   |    0   |
 1 | 0 |   1  |  0  |   10 |      5   |    0   |
 0 | 0 |   1  |  0  |   10 |      5   |    0   |
 1 | 0 |   1  |  0  |   10 |      4   |    0   |
 0 | 0 |   1  |  0  |   10 |      4   |    0   |
 1 | 0 |   1  |  0  |   10 |      3   |    0   |
 0 | 0 |   0  |  1  |   31 |      3   |    0   |
 1 | 0 |   0  |  1  |   31 |     31   |    0   |
 0 | 0 |   1  |  1  |   15 |     31   |    0   |
 1 | 0 |   1  |  1  |   15 |     31   |    0   |
 0 | 0 |   1  |  0  |   15 |     31   |    0   |
 1 | 0 |   1  |  0  |   15 |     30   |    0   |
 0 | 0 |   1  |  0  |   15 |     30   |    0   |
 1 | 0 |   1  |  0  |   15 |     29   |    0   |
 0 | 0 |   1  |  0  |   15 |     29   |    0   |
 1 | 0 |   1  |  0  |   15 |     28   |    0   |
 0 | 0 |   1  |  0  |   15 |     28   |    0   |
 1 | 0 |   1  |  0  |   15 |     27   |    0   |
 0 | 0 |   1  |  0  |   15 |     27   |    0   |
 1 | 0 |   1  |  0  |   15 |     26   |    0   |
 0 | 0 |   1  |  0  |   15 |     26   |    0   |
 1 | 0 |   1  |  0  |   15 |     25   |    0   |
 0 | 0 |   1  |  0  |   15 |     25   |    0   |
 1 | 0 |   1  |  0  |   15 |     24   |    0   |
 0 | 0 |   1  |  0  |   15 |     24   |    0   |
 1 | 0 |   1  |  0  |   15 |     23   |    0   |
 0 | 0 |   1  |  0  |   15 |     23   |    0   |
 1 | 0 |   1  |  0  |   15 |     22   |    0   |
 0 | 0 |   1  |  0  |   15 |     22   |    0   |
 1 | 0 |   1  |  0  |   15 |     21   |    0   |
 0 | 0 |   1  |  0  |   15 |     21   |    0   |
 1 | 0 |   1  |  0  |   15 |     20   |    0   |
 0 | 0 |   1  |  0  |   15 |     20   |    0   |
 1 | 0 |   1  |  0  |   15 |     19   |    0   |
 0 | 0 |   1  |  0  |   15 |     19   |    0   |
 1 | 0 |   1  |  0  |   15 |     18   |    0   |
 0 | 0 |   1  |  0  |   15 |     18   |    0   |
 1 | 0 |   1  |  0  |   15 |     17   |    0   |
 0 | 0 |   1  |  0  |   15 |     17   |    0   |
 1 | 0 |   1  |  0  |   15 |     16   |    0   |
